Kab/Kota;Jeruk. jeruk bali;Mangga;Apel;Rambutan;Duku. langsat;Durian;Salak;Pisang ambon;Pisang lainnya;Pepaya;Semangka;Tomat buah;Alpokat;Jambu biji;Nanas;Nangka;Pir;Anggur;Buah naga;Jambu air;Melon;Manggis;Kelengkeng;Buahbuahan lainnya
Simeulue;0.037;0.004;0.001;0.018;0.006;0.004;0.031;0.010;0.149;0.041;0.063;0.031;0.008;0.006;0.005;0.009;0.014;0.000;0.002;0.028;;0.001;0.002;0.015
Aceh Singkil;0.152;0.003;0.011;0.015;0.048;0.001;0.095;0.006;0.062;0.029;0.113;0.003;0.010;0.005;0.013;0.002;0.030;0.003;0.006;0.004;0.003;0;0.006;0.003
Aceh Selatan;0.112;0.012;0.010;0.013;0.022;0.040;0.083;0.013;0.062;0.047;0.076;0.102;0.015;0.005;0.010;0.002;0.021;0.003;0.008;0.010;0.001;0.001;0.001;0.013
Aceh Tenggara;0.102;0.008;0.012;0.009;0.021;0.000;0.063;0.006;0.053;0.050;0.052;0.058;0.010;0.001;0.012;0.001;0.036;0.002;0.010;0.008;;0;0.002;0.007
Aceh Timur;0.128;0.021;0.008;0.027;0.044;0.003;0.080;0.007;0.019;0.038;0.097;0.034;0.006;0.002;0.020;0.002;0.016;0.005;0.006;0.013;;0.007;0.004;0.001
Aceh Tengah;0.126;0.031;0.031;0.034;0.067;0.023;0.064;0.027;0.052;0.037;0.055;0.095;0.033;0.018;0.017;0.001;0.026;0.011;0.005;0.003;;0.003;0.002;0.006
Aceh Barat;0.098;0.007;0.010;0.013;0.022;0.007;0.080;0.003;0.065;0.038;0.086;0.070;0.011;0.004;0.013;0.001;0.033;0.009;0.008;0.034;0.003;0.001;0.009;0.04
Aceh Besar;0.095;0.021;0.015;0.009;0.004;0.010;0.067;0.010;0.081;0.074;0.074;0.000;0.010;0.006;0.009;0.003;0.023;0.007;0.006;0.008;0.006;0.001;0.002;0.007
Pidie;0.101;0.023;0.009;0.020;0.029;0.008;0.089;0.014;0.033;0.057;0.051;;0.012;0.006;0.003;0.001;0.027;0.006;0.006;0.009;0.001;0;0.002;0.01
Bireuen;0.102;0.008;0.011;0.004;0.020;0.010;0.074;0.001;0.072;0.086;0.039;0.013;0.015;0.005;0.009;0.003;0.021;0.006;0.008;0.009;0.002;0;0.001;0.015
Aceh Utara;0.135;0.021;0.006;0.009;0.022;0.007;0.094;0.013;0.045;0.073;0.129;0.014;0.005;0.002;0.017;0.004;0.017;0.003;0.003;0.007;;0.002;0.003;0.003
Aceh Barat Daya;0.092;0.012;0.016;0.004;0.012;;0.095;0.002;0.044;0.045;0.088;0.126;0.014;0.003;0.008;0.001;0.011;0.002;0.002;0.007;0.001;;0.003;0.023
Gayo Lues;0.113;0.028;0.016;0.047;0.113;0.026;0.076;0.017;0.070;0.093;0.091;0.010;0.046;0.012;0.010;0.009;0.027;0.004;0.013;0.017;;0.005;0.007;0.005
Aceh Tamiang;0.147;0.003;0.016;0.004;0.028;0.010;0.046;0.007;0.055;0.062;0.050;0.052;0.011;0.004;0.015;0.000;0.028;0.015;0.008;0.017;;0.002;0.004;0.006
Nagan Raya;0.160;0.018;0.002;0.045;0.044;0.012;0.145;0.010;0.043;0.067;0.171;0.066;0.013;0.009;0.026;0.006;0.008;0.005;0.007;0.069;0.001;0.001;0.005;0
Aceh Jaya;0.084;0.022;0.007;0.014;0.007;0.004;0.098;0.008;0.092;0.103;0.186;0.104;0.013;0.004;0.011;0.004;0.017;0.006;0.007;0.010;0;0;0.006;0.051
Bener Meriah;0.127;0.027;0.029;0.037;0.075;0.113;0.101;0.019;0.059;0.069;0.093;0.095;0.063;0.013;0.009;0.007;0.044;0.023;0.021;0.018;0.003;0.008;0.027;0.004
Pidie Jaya;0.160;0.011;0.012;0.016;0.025;0.008;0.132;0.020;0.035;0.066;0.043;0.007;0.016;0.002;0.005;0.002;0.019;0.006;0.007;0.009;0.005;0.002;0.001;0.011
Kota Banda Aceh;0.107;0.039;0.026;0.010;0.014;0.014;0.053;;0.101;0.095;0.140;0.076;0.017;0.007;0.009;0.001;0.031;0.014;0.022;0.017;0.014;0.002;0.005;0.01
Kota Sabang;0.098;0.014;0.016;0.006;0.018;0.047;0.025;0.010;0.160;0.145;0.066;;0.011;0.011;0.015;0.002;0.041;0.012;0.010;0.011;0.002;0.002;0.006;0.02
Kota Langsa;0.128;0.002;0.012;0.004;0.048;0.010;0.040;0.004;0.060;0.079;0.076;0.069;0.018;0.003;0.013;0.003;0.029;0.002;0.017;0.005;0.003;0.002;0.004;0.005
Kota Lhokseumawe;0.085;0.011;0.014;0.004;0.013;0.017;0.055;0.003;0.069;0.067;0.108;0.115;0.024;0.001;0.010;0.004;0.024;0.008;0.012;0.006;0.005;0.001;0.003;0.006
Kota Subulussalam;0.206;0.008;0.008;0.018;0.050;;0.111;0.008;0.022;0.032;0.118;0.087;0.014;0.003;0.008;0.001;0.035;0.004;0.011;0.001;0.001;0.005;0.005;0.005
Nias;0.002;0.001;0.001;0.006;0.040;0.000;0.006;0.045;0.449;0.060;0.013;0.001;0.000;0.002;0.003;0.004;0.002;;;0.005;;0.007;;0
Mandailing Natal;0.051;0.009;0.011;0.103;0.125;0.131;0.058;0.010;0.035;0.051;0.031;0.010;0.009;0.002;0.013;0.001;0.013;0.015;0.001;0.005;0;0.062;0.005;0.002
Tapanuli Selatan;0.088;0.003;0.004;0.100;0.027;0.055;0.120;0.019;0.073;0.055;0.042;0.054;0.010;0.001;0.012;0.000;0.019;0.001;0.003;0.005;;0.002;0.002;0.001
Tapanuli Tengah;0.087;0.003;0.009;0.016;0.070;0.006;0.064;0.021;0.122;0.039;0.023;0.121;0.012;0.002;0.018;0.002;0.015;0.002;0.004;0.001;;0;0.001;0.003
Tapanuli Utara;0.142;0.011;0.017;0.016;0.009;0.010;0.067;0.025;0.139;0.032;0.009;0.204;0.026;0.003;0.040;0.001;0.021;0.002;0.014;0.003;;0.005;0.003;0.002
Toba Samosir;0.198;0.009;0.021;0.020;0.045;0.019;0.047;0.012;0.179;0.067;0.019;0.094;0.029;0.014;0.024;0.002;0.021;0.005;0.021;0.007;0.001;0.014;0.007;0.01
Labuhan Batu;0.113;0.004;0.002;0.007;0.034;0.026;0.054;0.008;0.042;0.029;0.043;0.058;0.004;0.001;0.005;0.000;0.025;0.012;0.013;0.002;;0.007;0.007;0.01
Asahan;0.195;0.006;0.007;0.014;0.029;0.021;0.036;0.001;0.116;0.061;0.066;0.069;0.006;0.004;0.017;0.006;0.032;0.007;0.014;0.004;0.001;0.012;0.006;0.007
Simalungun;0.181;0.006;0.015;0.029;0.017;0.019;0.043;0.020;0.098;0.093;0.050;0.069;0.028;0.014;0.019;0.002;0.030;0.003;0.022;0.004;0.001;0.019;0.007;0.016
Dairi;0.118;0.007;0.024;0.024;0.059;0.090;0.041;0.034;0.149;0.047;0.028;0.020;0.030;0.007;0.027;0.003;0.036;0.006;0.017;0.006;0;0.016;0.002;0.003
Karo;0.120;0.012;0.021;0.031;0.065;0.037;0.053;0.024;0.062;0.051;0.030;0.018;0.032;0.011;0.033;0.003;0.040;0.008;0.044;0.002;;0.015;0.008;0.013
Deli Serdang;0.185;0.012;0.010;0.004;0.029;0.015;0.036;0.003;0.115;0.091;0.044;0.006;0.009;0.004;0.013;0.003;0.031;0.007;0.017;0.016;0.007;0.012;0.006;0.005
Langkat;0.145;0.009;0.011;0.002;0.037;0.010;0.033;0.004;0.086;0.088;0.050;0.001;0.008;0.002;0.021;0.000;0.020;0.006;0.014;0.018;0;0.004;0.007;0.006
Nias Selatan;0.008;0.001;0.000;0.024;0.021;0.002;0.002;0.034;0.192;0.084;0.005;0.001;0.004;0.001;0.012;0.016;0.011;;;0.002;;0.002;;0.002
Humbang Hasundutan;0.165;0.004;0.019;0.013;0.014;0.015;0.077;0.014;0.130;0.030;0.008;0.192;0.031;0.003;0.013;0.001;0.023;0.002;0.010;0.005;;0.013;0.002;0.005
Pakpak Bharat;0.092;0.004;0.015;0.012;0.041;0.084;0.037;0.024;0.100;0.028;0.023;0.142;0.031;0.003;0.046;0.002;0.022;0.002;0.014;0.008;;0.024;0.001;0.004
Samosir;0.173;0.010;0.025;0.018;0.011;0.119;0.044;0.017;0.244;0.061;0.015;0.078;0.052;0.012;0.042;0.002;0.020;0.009;0.014;0.003;0.001;0.011;0.001;0.02
Serdang Bedagai;0.175;0.009;0.021;0.003;0.020;0.010;0.038;0.004;0.079;0.054;0.048;0.069;0.013;0.004;0.015;0.001;0.038;0.010;0.014;0.012;0.003;0.001;0.005;0.012
Batu Bara;0.174;0.009;0.019;0.006;0.028;0.012;0.038;0.002;0.082;0.050;0.039;0.070;0.020;0.001;0.015;0.005;0.030;0.008;0.017;0.007;;0.004;0.005;0.011
Padang Lawas Utara;0.110;0.002;0.005;0.048;0.021;0.039;0.135;0.010;0.025;0.031;0.044;0.059;0.002;0.000;0.011;0.001;0.016;0.002;0.001;0.005;0;0.005;0.002;0.001
Padang Lawas;0.074;0.006;0.010;0.071;0.078;0.039;0.091;0.006;0.067;0.045;0.085;0.020;0.003;0.001;0.006;0.001;0.017;0.007;0.006;0.009;;0.007;0.012;0.002
Labuhan Batu Selatan;0.134;0.001;0.010;0.015;0.042;0.101;0.073;0.004;0.033;0.028;0.081;0.025;0.008;0.003;0.004;0.002;0.027;0.007;0.010;0.010;;0.009;0.008;0.011
Labuhan Batu Utara;0.163;0.003;0.008;0.007;0.054;0.024;0.078;0.003;0.051;0.039;0.070;0.026;0.012;0.004;0.012;0.009;0.029;0.005;0.007;0.006;0.002;0.005;0.012;0.004
Nias Utara;0.011;0.001;0.001;0.011;0.039;;0.005;0.061;0.211;0.044;0.012;0.001;0.001;0.000;0.004;0.021;0.003;;0.000;0.000;;0.004;0.001;0.004
Nias Barat;0.017;;0.001;0.003;0.009;;0.001;0.017;0.374;0.022;0.004;0.002;0.000;0.002;0.007;;;;;0.000;;0;;0.001
Kota Sibolga;0.078;0.002;0.008;0.019;0.054;0.014;0.042;0.014;0.086;0.087;0.046;0.005;0.015;0.001;0.021;0.000;0.022;0.001;0.006;0.001;0.001;0.002;0.004;0.003
Kota Tanjung Balai;0.153;0.023;0.020;0.012;0.056;0.012;0.071;0.034;0.103;0.078;0.079;0.122;0.017;0.010;0.034;0.001;0.025;0.012;0.011;0.011;0.004;0.009;0.006;0.006
Kota Pematang Siantar;0.203;0.020;0.029;0.009;0.015;0.047;0.028;0.035;0.179;0.124;0.058;0.149;0.030;0.015;0.042;0.003;0.033;0.003;0.036;0.004;0.001;0.017;0.004;0.011
Kota Tebing Tinggi;0.196;0.011;0.021;0.006;0.046;0.013;0.028;0.004;0.139;0.109;0.072;0.023;0.018;0.005;0.023;0.000;0.051;0.023;0.025;0.008;0.006;0.002;0.012;0.009
Kota Medan;0.137;0.014;0.019;0.006;0.035;0.016;0.037;0.011;0.114;0.117;0.066;0.007;0.014;0.014;0.020;0.003;0.031;0.010;0.022;0.012;0.008;0.016;0.005;0.006
Kota Binjai;0.180;0.008;0.020;0.004;0.033;0.021;0.020;0.012;0.097;0.072;0.063;0.000;0.010;0.008;0.013;0.002;0.045;0.008;0.019;0.028;0.004;0.01;0.002;0.001
Kota Padangsidimpuan;0.086;0.006;0.013;0.076;0.034;0.056;0.051;0.009;0.129;0.099;0.036;0.075;0.024;0.003;0.008;0.002;0.026;0.001;0.006;0.002;0.002;0.01;0.003;0.003
Kota Gunungsitoli;0.025;0.002;0.011;0.009;0.059;0.002;0.009;0.083;0.160;0.075;0.041;0.003;0.010;;0.005;0.004;0.013;0.002;0.007;0.000;0.001;0.011;;0.001
Kepulauan Mentawai;0.036;0.002;0.010;0.011;0.022;0.002;0.006;0.066;0.351;0.063;0.016;0.002;0.012;0.000;0.028;0.003;0.009;0.008;0.003;0.005;;;0.001;0.002
Pesisir Selatan;0.070;0.011;0.009;0.036;0.113;0.006;0.035;0.032;0.051;0.054;0.041;0.029;0.010;0.003;0.001;0.002;0.006;0.001;0.009;0.004;0;0.003;0.001;0.002
Solok;0.059;0.005;0.010;0.044;0.070;0.170;0.037;0.020;0.040;0.062;0.035;0.017;0.021;0.002;0.002;0.001;0.012;0.002;0.014;0.006;;0.057;0.006;0.003
Sijunjung;0.081;0.004;0.010;0.086;0.130;0.023;0.054;0.041;0.043;0.037;0.035;0.001;0.010;0.001;0.004;0.004;0.027;0.006;0.008;0.007;0.003;0.027;0.011;0.018
Tanah Datar;0.094;0.002;0.009;0.051;0.083;0.114;0.030;0.079;0.051;0.078;0.019;0.005;0.037;0.004;0.003;0.002;0.024;0.005;0.020;0.006;0;0.036;0.001;0.011
Padang Pariaman;0.072;0.003;0.003;0.019;0.077;0.015;0.016;0.035;0.058;0.086;0.029;0.075;0.009;0.002;0.004;0.000;0.008;0.001;0.005;0.002;0.002;0.006;0.001;0.008
